model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	54.6350	0.0000	0.0000	6783	0:13:30.243947	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	56.7042	0.0000	0.0000	6956	0:12:27.735176	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0061	44.0378	0.0004	0.0000	2246	0:08:29.654710	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0029	48.7612	0.0001	0.0000	1613	0:11:11.439445	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0087	44.6703	0.0004	0.0000	8185	0:10:49.578202	torch.float32	1.0		
mnist cnn	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0037	43.9298	0.0004	0.0000	7214	0:10:42.181221	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0131	29.5923	0.0175	0.0002	5577	0:50:15.664943	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0085	29.7509	0.0169	0.0003	1756	0:48:47.815209	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0170	28.6957	0.0215	0.0002	3095	0:48:26.256216	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0213	19.3123	0.1866	0.0028	6413	0:35:38.823664	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0189	21.1390	0.1225	0.0063	671	0:24:53.935472	torch.float32	1.0		
resnet18	CIFAR10	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0146	26.1508	0.0386	0.0015	6896	0:24:52.041419	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0182	19.7709	0.1679	0.0003	2247	1:30:43.107563	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0123	20.4888	0.1423	0.0004	2536	1:41:59.519184	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0276	19.3631	0.1844	0.0004	8667	1:44:06.581861	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0105	25.7478	0.0424	0.0004	4882	1:09:29.134040	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0225	22.4584	0.0904	0.0019	7831	1:12:34.169714	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0126	24.9441	0.0510	0.0003	2676	1:42:00.744628	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0171	22.6648	0.0862	0.0003	1923	1:38:18.499443	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0203	23.3157	0.0742	0.0001	395	1:35:57.697808	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0091	24.9807	0.0506	0.0007	2757	1:36:44.045207	torch.float32	1.0		
resnet18	CIFAR10	False	7	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0136	25.2921	0.0471	0.0002	3839	1:38:49.960879	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0154	21.8759	0.1034	0.8568	8491	1:21:57.449151	torch.float32	1.0		
resnet34	CIFAR10	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0057	25.5946	0.0439	0.1034	5524	1:26:50.726317	torch.float32	1.0		
