model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0503	25.1457	0.0322	0.0006	863	0:02:27.867265	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0525	30.8310	0.0087	0.0003	9635	0:02:27.914961	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0198	27.8089	0.0174	0.0003	1374	0:02:27.917420	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0169	28.0413	0.0165	0.0009	2076	0:02:28.375751	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0940	20.1032	0.1029	0.0035	4151	0:00:10.167776	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0198	27.9521	0.0169	0.0004	2073	0:02:31.521714	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0336	29.6835	0.0113	0.0005	7928	0:02:32.377055	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0413	28.7938	0.0139	0.0007	970	0:03:07.938163	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0458	24.5103	0.0373	0.0010	1100	0:03:24.681104	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0460	28.2617	0.0157	0.0004	4665	0:05:30.867477	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0119	38.1564	0.0016	0.0000	7803	0:05:42.054290	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0137	31.0696	0.0082	0.0002	6799	0:05:50.241473	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0034	40.6655	0.0009	0.0000	6911	0:09:38.192752	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0048	45.5552	0.0003	0.0000	8923	0:06:51.023602	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0025	50.1207	0.0001	0.0000	8686	0:04:47.021151	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0025	47.3990	0.0002	0.0000	4968	0:03:10.006263	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0028	40.4340	0.0010	0.0000	3609	0:03:05.560766	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0001	60.4026	0.0000	0.0000	6028	0:02:55.543616	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0028	44.8534	0.0003	0.0000	1666	0:06:45.313871	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0052	37.9176	0.0017	0.0000	5085	0:07:02.525302	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0088	37.7872	0.0018	0.0000	9728	0:07:20.006014	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0013	46.4575	0.0002	0.0000	662	0:06:49.780207	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0077	36.3054	0.0025	0.0000	8375	0:06:51.626585	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0071	39.3310	0.0012	0.0000	7992	0:05:35.055050	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0096	27.9465	0.0256	0.0001	8795	2:00:02.801606	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0088	28.7867	0.0211	0.0006	8578	2:07:52.064092	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0088	24.7099	0.0538	0.0000	1451	1:40:57.804304	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0097	25.9910	0.0401	0.0002	6814	1:30:14.667976	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0137	28.4418	0.0228	0.0001	5906	1:56:41.564691	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0127	25.4198	0.0457	0.0001	6636	1:52:42.257408	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0183	23.1578	0.0770	0.0007	6874	2:00:07.626740	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0119	24.1911	0.0607	0.0001	2187	2:05:11.120090	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0160	20.3726	0.1462	0.0002	6801	1:41:56.456573	torch.float32	1.0
resnet18	CIFAR10	False	9	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0155	21.7271	0.1070	0.0019	6261	1:23:28.860085	torch.float32	1.0
resnet34	CIFAR10	False	4	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0416	8.6345	2.1810	35.3827	1490	1:13:04.051283	torch.float32	1.0
resnet34	CIFAR10	False	4	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0235	13.2052	0.7613	1.6651	1928	1:13:03.355232	torch.float32	1.0
resnet34	CIFAR10	False	4	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0333	11.2578	1.1921	0.0258	9743	1:13:04.962307	torch.float32	1.0
resnet34	CIFAR10	False	4	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0384	11.0839	1.2408	40.4537	2723	0:42:28.525265	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0215	29.2340	0.0126	0.0001	3143	0:02:48.609402	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0206	31.4531	0.0075	0.0002	3565	0:04:04.882345	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0155	31.3957	0.0076	0.0001	3642	0:05:36.129816	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0085	27.9179	0.0170	0.0002	9312	0:05:37.998121	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0180	28.8477	0.0137	0.0007	9624	0:04:56.367598	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0391	22.8249	0.0550	0.0014	9590	0:04:49.702267	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0563	24.9825	0.0334	0.0007	4707	0:04:41.233717	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0761	23.5746	0.0463	0.0013	876	0:04:48.259939	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0356	21.9189	0.0677	0.0018	3742	0:04:50.682458	torch.float32	1.0
mnist mlp	MNIST	False	5	ALG_No_Weig	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0235	28.2263	0.0158	0.0004	2997	0:04:49.983450	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0123	38.3180	0.0016	0.0000	6128	0:03:02.360649	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0053	48.2311	0.0002	0.0000	2316	0:03:25.890814	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0042	45.2101	0.0003	0.0000	689	0:03:25.793761	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0059	42.1610	0.0006	0.0000	201	0:03:25.873442	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0046	44.5693	0.0004	0.0000	1432	0:03:17.871624	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0058	45.3515	0.0003	0.0000	7775	0:03:18.922748	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0090	45.4911	0.0003	0.0000	5566	0:03:25.996347	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0065	42.7281	0.0006	0.0000	2440	0:03:26.475597	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0075	46.3664	0.0002	0.0000	9864	0:03:25.627734	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rGaussAWeig19	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0163	33.4461	0.0048	0.0000	6098	0:03:25.776690	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.1039	7.2455	3.0030	68.8968	6065	0:00:20.915964	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.1072	6.8865	3.2618	64.9586	3255	0:00:01.103833	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.1749	8.4431	2.2793	22.7882	3596	0:00:00.412768	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.1251	10.7961	1.3258	15.1262	4731	0:00:00.199311	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.1227	8.8231	2.0883	2.4928	6573	0:00:00.201173	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0295	16.2494	0.3777	3.7969	5867	1:01:57.166763	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0218	17.1648	0.3059	1.7402	1714	0:56:45.997580	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0216	19.0126	0.1999	0.1199	1029	0:56:44.943820	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0159	20.4931	0.1422	0.0826	3501	0:56:47.756290	torch.float32	1.0
resnet34	CIFAR10	False	3	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0276	16.9705	0.3199	1.3894	1532	0:56:46.736644	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_bGaussAWeig21	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0025	50.7292	0.0001	0.0000	2264	0:01:51.399987	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_bGaussAWeig21	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0111	42.1514	0.0006	0.0000	9797	0:02:00.463471	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_bGaussAWeig21	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0148	43.6007	0.0005	0.0000	3975	0:02:51.011333	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_bGaussAWeig21	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0101	42.3561	0.0006	0.0000	2254	0:02:51.082451	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_bGaussAWeig21	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0043	48.8521	0.0001	0.0000	2674	0:02:51.632225	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9541	8.1768	1.6029	0.0073	657	0:02:00.734916	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9530	8.2222	1.5863	0.0075	8554	0:02:51.679159	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9540	7.2529	1.9829	0.0056	3321	0:02:50.607940	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9543	7.5799	1.8391	0.0052	2614	0:02:10.548805	torch.float32	1.0
mnist mlp	MNIST	False	3	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9544	8.5747	1.4626	0.0052	7736	0:02:14.493808	torch.float32	1.0
mnist mlp	MNIST	False	9	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9509	8.7790	1.3954	0.0160	1085	0:04:00.600392	torch.float32	1.0
mnist mlp	MNIST	False	9	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9584	7.8686	1.7208	0.0103	4837	0:04:06.712683	torch.float32	1.0
mnist mlp	MNIST	False	9	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9521	9.0112	1.3227	0.0083	4825	0:04:08.029197	torch.float32	1.0
mnist mlp	MNIST	False	9	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9565	8.1465	1.6142	0.0242	1513	0:04:07.235978	torch.float32	1.0
mnist mlp	MNIST	False	9	ALG_rRResAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9520	8.3313	1.5469	0.0090	5102	0:04:07.134672	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0014	55.7382	0.0000	0.0000	1654	0:09:17.442354	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0026	40.8751	0.0009	0.0000	3362	0:09:17.975769	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0015	56.2754	0.0000	0.0000	6022	0:09:17.075941	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0020	45.9019	0.0003	0.0000	182	0:09:16.579430	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0016	55.8039	0.0000	0.0000	2382	0:09:15.896460	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0015	46.9733	0.0002	0.0000	3134	0:07:06.844041	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0014	48.7054	0.0001	0.0000	5994	0:07:04.374466	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0015	49.0320	0.0001	0.0000	8736	0:07:02.620373	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0013	61.0472	0.0000	0.0000	3253	0:07:04.415334	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0012	60.1723	0.0000	0.0000	9909	0:07:00.087315	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0029	32.7522	0.0056	0.0000	6421	0:05:19.322244	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0019	39.3940	0.0012	0.0000	6981	0:05:20.785901	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0014	50.2754	0.0001	0.0000	3000	0:05:15.793211	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0022	41.1101	0.0008	0.0000	9967	0:05:22.744075	torch.float32	1.0
mnist cnn	MNIST	False	5	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0018	58.1378	0.0000	0.0000	3276	0:05:19.960963	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0028	46.6016	0.0002	0.0000	5662	0:03:41.631352	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0023	55.5305	0.0000	0.0000	3690	0:03:40.043525	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0028	49.4849	0.0001	0.0000	8627	0:03:42.091883	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0018	50.2362	0.0001	0.0000	5057	0:03:43.059763	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_bGaussAWeig21	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0023	53.9348	0.0000	0.0000	7510	0:03:41.498370	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0002	53.3551	0.0000	0.0000	8934	0:08:23.647655	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0002	55.9717	0.0000	0.0000	1100	0:08:03.411704	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0003	50.9867	0.0001	0.0000	5754	0:08:07.576934	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0003	55.1363	0.0000	0.0000	6309	0:08:13.282224	torch.float32	1.0
mnist cnn	MNIST	False	9	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	44.0665	0.0004	0.0000	5314	0:08:40.081063	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	51.7157	0.0001	0.0000	5612	0:06:32.882042	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	52.9724	0.0001	0.0000	5355	0:04:57.151880	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	42.6902	0.0006	0.0000	4266	0:05:15.820516	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0002	56.8610	0.0000	0.0000	8204	0:06:37.393499	torch.float32	1.0
mnist cnn	MNIST	False	7	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0002	68.1706	0.0000	0.0000	7649	0:06:36.885635	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0017	53.8759	0.0000	0.0000	5422	0:03:17.908206	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0018	51.8082	0.0001	0.0000	9406	0:03:20.038503	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0011	61.8623	0.0000	0.0000	755	0:03:20.902688	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0011	47.7190	0.0002	0.0000	3635	0:03:22.097840	torch.float32	1.0
mnist cnn	MNIST	False	3	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0028	46.6110	0.0002	0.0000	4737	0:03:21.592858	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0112	32.7133	0.0056	0.0001	4963	0:03:12.024730	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0211	31.4575	0.0075	0.0002	6753	0:03:47.963177	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0165	33.1858	0.0051	0.0003	4790	0:04:18.102997	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0456	32.3079	0.0062	0.0001	2899	0:03:15.303799	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0165	32.3458	0.0061	0.0003	4452	0:03:11.082175	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0280	25.9127	0.0270	0.0008	9495	0:03:09.850152	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0469	21.5392	0.0739	0.0018	7927	0:03:10.261298	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0228	26.4588	0.0238	0.0007	6762	0:03:09.626805	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0532	32.5625	0.0058	0.0004	638	0:03:09.247235	torch.float32	1.0
mnist mlp	MNIST	False	7	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0416	26.1453	0.0256	0.0005	421	0:03:09.287789	torch.float32	1.0
